taxon	age
Gen_Arb05_MiddleEast_JN398380_0@0    0.0
Gen_Irn04_MiddleEast_JN398457_0@0    0.0
GenBank_AkhalTeke1_HQ439441_0@0    0.0
GenBank_Altai1_HQ439443_0@0    0.0
GenBank_Appaloosa_HQ439446_0@0    0.0
GenBank_Arab_HQ439447_0@0    0.0
GenBank_Ardennais_HQ439450_0@0    0.0
GenBank_Barb_HQ439453_0@0    0.0
GenBank_BashkirCurly1_HQ4394511_0@0    0.0
GenBank_Camargue_HQ439454_0@0    0.0
GenBank_Clydesdale_HQ439455_0@0    0.0
GenBank_Equusprzewalskii_HQ439484_0@0    0.0
GenBank_GermanRidingPony_HQ439461_0@0    0.0
GenBank_GermanSportHorse_HQ439456_0@0    0.0
GenBank_Hanoverian_HQ439457_0@0    0.0
GenBank_Holstein_HQ439458_0@0    0.0
GenBank_Icelandic2_HQ4394662_0@0    0.0
GenBank_Kladruber_HQ439445_0@0    0.0
GenBank_Oldenburg_HQ439459_0@0    0.0
GenBank_Westphalian_HQ439460_0@0    0.0
GenBank_Yakut_HQ439467_0@0    0.0
KT368727.1    0.0
KT368728.1    0.0
KT368729.1    0.0
KT368730.1    0.0
KT368731.1    0.0
KT368732.1    0.0
KT368733.1    0.0
KT368734.1    0.0
KT368735.1    0.0
KT368736.1    0.0
KT368737.1    0.0
KT368738.1    0.0
Orla_noExtID_PrzewalskiHorse_KT757761_0@0    0.0
Orla_noExtID_TwilightThoroughbredHorse_KT757764_0@0    0.0
Orla_noExtID@0    0.0
