taxon	min	max
Angiopteris_evecta	0	0
Angiopteris_boninensis	0	0
Botryopteris_tridentata	307	315.2
Corynepteris_involucrata	305.9	313.8
Danaea_elliptica	0	0
Danaea_nodosa	0	0
Danaeopsis_fecunda	201.3	208.5
Dipteris_conjugata	0	0
Escapia_christensenioides	132.9	139.8
Eupodium_laeve	0	0
Gemellitheca_saudica	251.9	272.95
Hopetedia_praetermissa	227	237
Marattiopsis_aganzhenensis	174.1	201.3
Marattia_douglasii	0	0
Marattia_excavata	0	0
Marattiopsis_crenulatus	201.3	208.5
Marattiopsis_vodrazkae	86.3	89.8
Millaya_tularosana	280	298.9
Osmunda_regalis	0	0
Pertica_quadrifaria	387.7	407.6
Psilophyton_crenulatum	393.3	407.6
Ptisana_attenuata	0	0
Ptisana_fraxinea	0	0
Ptisana_squamosa	0	0
Qasimia_schyfsmae	268.8	272.95
Radstockia_kidstonii	306.95	311.45
Rhacophyton_ceratangium	364.7	370.6
Scolecopteris_alta	315.2	323.2
Scolecopteris_antarctica	237	247.2
Scolecopteris_illinoensis	298.9	307
Scolecopteris_latifolia	298.9	307
Scolecopteris_minor	298.9	307
Scolecopteris_monothrix	298.9	307
